"kode";"jenis";"nama"
"1101172009";"Kelurahan/Desa";"Jambo Keupok"
"1101172010";"Kelurahan/Desa";"Alurduamas"
"1101180000";"Kecamatan";"Trumon Tengah"
"1101182001";"Kelurahan/Desa";"Ladang Rimba"
"1101182002";"Kelurahan/Desa";"Gunong Kapho"
"1101182003";"Kelurahan/Desa";"Kampong Teungoh"
"1101182004";"Kelurahan/Desa";"Krueng Batee"
"1101182005";"Kelurahan/Desa";"Pulo Paya"
"1101182006";"Kelurahan/Desa";"Jambo Papeun"
"1101182007";"Kelurahan/Desa";"Cot Bayu"
"1101182008";"Kelurahan/Desa";"Naca"
"1101182009";"Kelurahan/Desa";"Ie Jeureuneh"
"1101182010";"Kelurahan/Desa";"Lhok Raya"
"1102000000";"KAB/KOTA";"KAB. ACEH TENGGARA"
"1102010000";"Kecamatan";"Lawe Alas"
"1102012001";"Kelurahan/Desa";"Engkeran"
"1102012002";"Kelurahan/Desa";"Rumah Kampung"
"1102012004";"Kelurahan/Desa";"Pasir Bangun"
"1102012006";"Kelurahan/Desa";"Kubu"
"1102012007";"Kelurahan/Desa";"Lawe Kongker"
"1102012008";"Kelurahan/Desa";"Kuta Cingkam II"
"1102012009";"Kelurahan/Desa";"Muara Baru"
"1102012011";"Kelurahan/Desa";"Kuta Batu I"
"1102012012";"Kelurahan/Desa";"Kuta Cingkam I"
"1102012013";"Kelurahan/Desa";"Kuta Batu II"
"1102012014";"Kelurahan/Desa";"Lawe Sempilang"
"1102012015";"Kelurahan/Desa";"Prapat Batu Nunggul"
"1102012016";"Kelurahan/Desa";"Pulo Sepang"
"1102012017";"Kelurahan/Desa";"Rih Mbelang"
"1102012018";"Kelurahan/Desa";"Kute Batu Baru"
"1102012019";"Kelurahan/Desa";"Darul Amin"
"1102012020";"Kelurahan/Desa";"Lawe Lubang Indah"
"1102012021";"Kelurahan/Desa";"Batu Hamparan"
"1102012022";"Kelurahan/Desa";"Paye Munje"
"1102012023";"Kelurahan/Desa";"Pulo Ndapdap"
"1102012024";"Kelurahan/Desa";"Pasir Nunggul"
"1102012025";"Kelurahan/Desa";"Cingkham Mekhanggun"
"1102012026";"Kelurahan/Desa";"Pintu Khimbe"
"1102012027";"Kelurahan/Desa";"Lawe Kongker Hilir"
"1102012028";"Kelurahan/Desa";"Pulo Gadung"
"1102012029";"Kelurahan/Desa";"Pasikh Pehkmate"
"1102012030";"Kelurahan/Desa";"Pasikh Nunang"
"1102012031";"Kelurahan/Desa";"Deleng Kukusen"
"1102020000";"Kecamatan";"Lawe Sigala-Gala"
"1102022001";"Kelurahan/Desa";"Bukit Merdeka"
"1102022002";"Kelurahan/Desa";"Darul Aman"
"1102022003";"Kelurahan/Desa";"Lawe Kesumpat"
"1102022004";"Kelurahan/Desa";"Lawe Tua Gabungan"
"1102022005";"Kelurahan/Desa";"Lawe Sigala II"
"1102022006";"Kelurahan/Desa";"Lawe Sigala Timur"
"1102022007";"Kelurahan/Desa";"Lawe Sigala Barat"
"1102022008";"Kelurahan/Desa";"Suka Damai"
"1102022009";"Kelurahan/Desa";"Kute Tengah"
"1102022010";"Kelurahan/Desa";"Tanah Baru"
"1102022011";"Kelurahan/Desa";"Kedataran  Gabungan"
"1102022012";"Kelurahan/Desa";"Gabungan  Parsaroan"
"1102022013";"Kelurahan/Desa";"Lawe Loning Gabungan"
"1102022014";"Kelurahan/Desa";"Lawe Loning Aman"
"1102022015";"Kelurahan/Desa";"Suka Maju"
"1102022016";"Kelurahan/Desa";"Lawe Tua Makmur"
"1102022017";"Kelurahan/Desa";"Lawe Tua Persatuan"
"1102022018";"Kelurahan/Desa";"Lawe Serke"
"1102022019";"Kelurahan/Desa";"Lawe Rakat"
"1102022020";"Kelurahan/Desa";"Suka Jaya"
"1102022021";"Kelurahan/Desa";"Enmiya Batu Dua Ratus"
"1102022022";"Kelurahan/Desa";"Sebungke"
"1102022023";"Kelurahan/Desa";"Bukit Sepakat"
"1102022024";"Kelurahan/Desa";"Lawe Loning Sepakat"
"1102022025";"Kelurahan/Desa";"Lawe Loning I"
"1102022026";"Kelurahan/Desa";"Gaya Jaya"
"1102022027";"Kelurahan/Desa";"Gelah Musara"
"1102022028";"Kelurahan/Desa";"Mulie Dame"
"1102022029";"Kelurahan/Desa";"Lawe Loning Hakhapen"
"1102022030";"Kelurahan/Desa";"Karya Indah"
"1102022031";"Kelurahan/Desa";"Kayu Mbelin"
"1102022032";"Kelurahan/Desa";"Lawe Sigala Barat Jaya"
"1102022033";"Kelurahan/Desa";"Lawe Pekhidinen"
"1102022034";"Kelurahan/Desa";"Kertimbang"
"1102022035";"Kelurahan/Desa";"Ndauh Nitenggo"
"1102030000";"Kecamatan";"Bambel"
"1102032001";"Kelurahan/Desa";"Bambel Gabungan"
"1102032002";"Kelurahan/Desa";"Kisam"
"1102032005";"Kelurahan/Desa";"Lawe Hijo"
"1102032006";"Kelurahan/Desa";"Pinding"
"1102032009";"Kelurahan/Desa";"Terutung Megara Asli"
"1102032011";"Kelurahan/Desa";"Biak Muli"
"1102032012";"Kelurahan/Desa";"Kute Lang-Lang"
"1102032013";"Kelurahan/Desa";"Pedesi"
"1102032014";"Kelurahan/Desa";"Terutung Payung Hulu"
"1102032015";"Kelurahan/Desa";"Terutung Payung Hilir"
"1102032016";"Kelurahan/Desa";"Tualang Sembilar"
"1102032017";"Kelurahan/Desa";"Kuning I"
"1102032018";"Kelurahan/Desa";"Kuning II"
"1102032019";"Kelurahan/Desa";"Cinta Damai"
"1102032020";"Kelurahan/Desa";"Likat"
"1102032021";"Kelurahan/Desa";"Rikit"
"1102032023";"Kelurahan/Desa";"Bambel"
"1102032025";"Kelurahan/Desa";"Lawe Kihing"
"1102032026";"Kelurahan/Desa";"Terutung Seperai"
"1102032027";"Kelurahan/Desa";"Kute Seri"
"1102032028";"Kelurahan/Desa";"Kuta Antara"
"1102032029";"Kelurahan/Desa";"Pulo Perengge"
"1102032031";"Kelurahan/Desa";"Pulo Kendondong"
"1102032033";"Kelurahan/Desa";"Pancakh Iman"
"1102032034";"Kelurahan/Desa";"Biak Muli Baru"
"1102032035";"Kelurahan/Desa";"Biak Muli Pantai Raja"
"1102032036";"Kelurahan/Desa";"Biak Muli Sejahtera"
"1102032037";"Kelurahan/Desa";"Lembah Haji"
"1102032038";"Kelurahan/Desa";"Terutung PayungGabungan"
"1102032039";"Kelurahan/Desa";"Lawe Hijo Metuah"
"1102032040";"Kelurahan/Desa";"Ampera"
"1102032041";"Kelurahan/Desa";"Tembilakh Mbakhu"
"1102032042";"Kelurahan/Desa";"Kute Lang-Lang Bakhu"
"1102040000";"Kecamatan";"Babussalam"
"1102042001";"Kelurahan/Desa";"Kota Kutacane"
"1102042002";"Kelurahan/Desa";"Perapat Hilir"
"1102042003";"Kelurahan/Desa";"Perapat Hulu"
"1102042004";"Kelurahan/Desa";"Muara Lawe Bulan"
"1102042005";"Kelurahan/Desa";"Mbarung"
"1102042006";"Kelurahan/Desa";"Batu Mbulan Asli"
"1102042007";"Kelurahan/Desa";"Batu Mbulan I"
"1102042008";"Kelurahan/Desa";"Batu Mbulan II"
"1102042009";"Kelurahan/Desa";"Kampung Raja"
"1102042010";"Kelurahan/Desa";"Pulonas"
"1102042011";"Kelurahan/Desa";"Kampung Melayu Gabungan"
"1102042012";"Kelurahan/Desa";"Terutung Pedi"
"1102042013";"Kelurahan/Desa";"Kute Rih"
"1102042014";"Kelurahan/Desa";"Gumpang Jaya"
"1102042015";"Kelurahan/Desa";"Pulo Latong"
"1102042016";"Kelurahan/Desa";"Kutacane Lama"
"1102042017";"Kelurahan/Desa";"Batu Mbulan Mbaru"
"1102042018";"Kelurahan/Desa";"Pulo Peding"
"1102042019";"Kelurahan/Desa";"Mendabe"
"1102042020";"Kelurahan/Desa";"Ujung Barat"
"1102042021";"Kelurahan/Desa";"Pekhapat Titi Panjang"
"1102042022";"Kelurahan/Desa";"Pekhapat Sepakat"
"1102042023";"Kelurahan/Desa";"Alas Marantcar"
"1102042024";"Kelurahan/Desa";"Batu Mbulan Sepakat"
"1102042025";"Kelurahan/Desa";"Pulo Sanggakh"
"1102042026";"Kelurahan/Desa";"Melayu I"
"1102042027";"Kelurahan/Desa";"Mbarung Datuk Saudane"
"1102050000";"Kecamatan";"Badar"
"1102052005";"Kelurahan/Desa";"Salang Alas"
"1102052009";"Kelurahan/Desa";"Kuta Pasir"
"1102052011";"Kelurahan/Desa";"Purwodadi"
"1102052012";"Kelurahan/Desa";"Kuta Tinggi"
"1102052013";"Kelurahan/Desa";"Kampung Baru"
"1102052014";"Kelurahan/Desa";"Peranginan"
"1102052015";"Kelurahan/Desa";"Natam"
"1102052025";"Kelurahan/Desa";"Kumbang Jaya"
"1102052026";"Kelurahan/Desa";"Kumbang Indah"
"1102052027";"Kelurahan/Desa";"Natam Baru"
"1102052029";"Kelurahan/Desa";"Deleng Megakhe"
"1102052030";"Kelurahan/Desa";"Lawe Bekung"
"1102052031";"Kelurahan/Desa";"Lawe Bekung Tampahan"
"1102052032";"Kelurahan/Desa";"Badar Indah"
"1102052033";"Kelurahan/Desa";"Batu Mbekhong"
"1102052034";"Kelurahan/Desa";"Tanah Merah"
"1102052035";"Kelurahan/Desa";"Tanoh Megakhe"
"1102052036";"Kelurahan/Desa";"Lawe Sekerah"
"1102060000";"Kecamatan";"Babul Makmur"
"1102062001";"Kelurahan/Desa";"Pardomuan  II"
"1102062002";"Kelurahan/Desa";"Lawe Desky I"
"1102062003";"Kelurahan/Desa";"Lawe Desky Sabas"
"1102062004";"Kelurahan/Desa";"Pardomuan  I"
"1102062005";"Kelurahan/Desa";"Cinta Damai"
"1102062006";"Kelurahan/Desa";"Pardamean"
"1102062007";"Kelurahan/Desa";"Lawe Desky Tongah"
"1102062008";"Kelurahan/Desa";"Kute Bakti"
"1102062010";"Kelurahan/Desa";"Muara Situlen"
"1102062011";"Kelurahan/Desa";"Sejahtera"
"1102062012";"Kelurahan/Desa";"Kute Makmur"
"1102062013";"Kelurahan/Desa";"Pardamean"
"1102062014";"Kelurahan/Desa";"Lawe Mantik"
"1102062015";"Kelurahan/Desa";"Cinta Makmur"
"1102062016";"Kelurahan/Desa";"Muara Setia"
"1102062017";"Kelurahan/Desa";"Tanoh Alas"
"1102062018";"Kelurahan/Desa";"Sejahtera Baru"
"1102062024";"Kelurahan/Desa";"Lawe Tawakh"
"1102062025";"Kelurahan/Desa";"Sabilussalam"
"1102062026";"Kelurahan/Desa";"Lawe Desky Jaya"
"1102062027";"Kelurahan/Desa";"Pintu Alas"
"1102070000";"Kecamatan";"Darul Hasanah"
"1102072001";"Kelurahan/Desa";"Gulo"
"1102072002";"Kelurahan/Desa";"Pulo Piku"
"1102072003";"Kelurahan/Desa";"Terutung Kute"
"1102072004";"Kelurahan/Desa";"Kute Ujung"
"1102072005";"Kelurahan/Desa";"Lawe Stul"
"1102072006";"Kelurahan/Desa";"Kite Merangun"
"1102072007";"Kelurahan/Desa";"Mamas"
